Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-17.96;-70.88;9;terrestrial;charcoal;6065;70;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;10;marine;Perumytulus purpuratus;6885;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;10;terrestrial;charcoal;6065;70;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;11;marine;Chiton sp;7505;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;11;terrestrial;charcoal;6785;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;12;marine;concholepas concholepas;7285;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;12;terrestrial;charcoal;6785;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;13;marine;Perumytulus purpuratus;6885;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;13;terrestrial;charcoal;6785;60;Ortlieb et al. 2011;strickly relationship;EH
-21.82;-69.72;14;marine;Protothaca thaca ;645;33;Ortlieb et al. 2011;strickly relationship;CWP-LH
-21.82;-69.72;14;terrestrial;collected date;38;18;Ortlieb et al. 2011;reliable date;CWP
-23.06;-69.33;15;marine;Argopecten purpuratus;540;60;Ortlieb et al. 2011;strickly relationship;CWP-LH
-23.06;-69.33;15;terrestrial;collected date;28.5;9.5;Ortlieb et al. 2011;reliable date;CWP
-23.06;-69.33;16;marine;Argopecten purpuratus;795;30;Ortlieb et al. 2011;strickly relationship;CWP-LH
-23.06;-69.33;16;terrestrial;collected date;28.5;9.5;Ortlieb et al. 2011;reliable date;CWP
-23.06;-69.33;17;marine;Argopecten purpuratus;474;32;Ortlieb et al. 2011;strickly relationship;CWP-LH
-23.06;-69.33;17;terrestrial;collected date;28.5;9.5;Ortlieb et al. 2011;reliable date;CWP
-23.06;-69.33;18;marine;Argopecten purpuratus;598;29;Ortlieb et al. 2011;strickly relationship;CWP-LH
-23.06;-69.33;18;terrestrial;collected date;28.5;9.5;Ortlieb et al. 2011;reliable date;CWP
-23.06;-69.33;19;marine;Protothaca thaca ;835;40;Ortlieb et al. 2011;strickly relationship;CWP-LH
-23.06;-69.33;19;terrestrial;collected date;41;9;Ortlieb et al. 2011;reliable date;CWP
-12;-72.7;1;marine;organic material 14C;1155;45;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;1;normal;organic material 210Pb;2;2;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;2;marine;organic material 14C;805;30;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;2;normal;organic material 210Pb;33;6;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;3;marine;organic material 14C;830;30;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;3;normal;organic material 210Pb;59;8;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;4;marine;organic material 14C;690;45;Gutierrez et al. 2009;strickly relationship;CWP
-12;-72.7;4;normal;organic material 210Pb;80;10;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;5;marine;organic material 14C;680;45;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;5;normal;organic material 210Pb;0;3;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;6;marine;organic material 14C;740;30;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;6;normal;organic material 210Pb;30;4;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;7;marine;organic material 14C;760;30;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;7;normal;organic material 210Pb;67;4;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;8;marine;organic material 14C;770;50;Gutierrez et al. 2009;strickly relationship;CWP
-14.07;-76.5;8;normal;organic material 210Pb;90;5;Gutierrez et al. 2009;strickly relationship;CWP
-12.06;-77.16;1;marine;Argopecten purpuratus;643;44;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;1;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;2;marine;Argopecten purpuratus;601;35;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;2;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;3;marine;Argopecten purpuratus;668;50;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;3;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;4;marine;Argopecten purpuratus;708;44;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;4;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;5;marine;Argopecten purpuratus;557;51;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;5;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;6;marine;Argopecten purpuratus;578;47;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;6;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;7;marine;Argopecten purpuratus;637;42;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;7;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;8;marine;Argopecten purpuratus;657;48;Jones et al. 2007;strickly relationship;CWP
-12.06;-77.16;8;normal;collected date;47.5;0.25;Jones et al. 2007;strickly relationship;CWP
-5.75;-81;9;marine;Argopecten purpuratus;543;47;Jones et al. 2007;strickly relationship;CWP
